,location,out,player,position,shot_aerial_won,shot_body_part,shot_deflected,shot_end_location,shot_first_time,shot_one_on_one,shot_open_goal,shot_outcome,shot_technique,shot_type,under_pressure,shot_saved_to_post,shot_saved_off_target,xG,match_id
93939,"[113.2, 51.4]",,Gonzalo Gerardo Higuaín,Center Forward,,Right Foot,,"[120.0, 44.3, 2.4]",,,,Off T,Normal,Open Play,True,,,0.010716265,3879731
93940,"[101.6, 48.6]",,Gonzalo Gerardo Higuaín,Center Forward,,Right Foot,,"[116.4, 41.1, 0.5]",True,,,Saved,Half Volley,Open Play,,,,0.0023077696,3879731
93941,"[93.8, 28.3]",,Lorenzo Insigne,Left Wing,,Right Foot,,"[120.0, 47.7, 7.8]",,,,Off T,Normal,Open Play,,,,0.0018525374,3879731
93942,"[90.7, 36.2]",,Marek Hamšík,Left Center Midfield,,Left Foot,,"[95.2, 36.6]",,,,Blocked,Normal,Open Play,,,,0.00158197,3879731
93943,"[114.2, 30.1]",,Marek Hamšík,Left Center Midfield,,Right Foot,,"[115.1, 31.5]",,,,Blocked,Half Volley,Open Play,True,,,0.004191415,3879731
93944,"[109.2, 44.8]",,José María Callejón Bueno,Right Wing,,Head,,"[120.0, 37.9, 5.9]",,,,Off T,Normal,Open Play,,,,0.005385094,3879731
93945,"[111.0, 39.9]",,José María Callejón Bueno,Right Wing,True,Head,,"[120.0, 33.2, 0.5]",,,,Off T,Normal,Open Play,True,,,0.00770445,3879731
93947,"[103.0, 32.1]",,José María Callejón Bueno,Right Wing,,Left Foot,,"[120.0, 44.8, 0.2]",,,,Off T,Normal,Open Play,,,,0.0027544706,3879731
93948,"[110.0, 42.1]",,José María Callejón Bueno,Right Wing,,Head,,"[120.0, 33.6, 2.7]",,,,Off T,Normal,Open Play,,,,0.0024334951,3879731
93949,"[113.1, 54.6]",,Lorenzo Insigne,Left Wing,,Right Foot,,"[120.0, 45.4, 3.0]",True,,,Off T,Volley,Open Play,,,,0.002486868,3879731
93950,"[113.9, 41.4]",,Kalidou Koulibaly,Left Center Back,,Other,,"[120.0, 41.5, 4.0]",,,,Off T,Normal,Open Play,,,,0.0065625827,3879731
93951,"[101.0, 48.9]",,Gonzalo Gerardo Higuaín,Center Forward,,Right Foot,,"[118.7, 41.2, 0.8]",,,,Saved,Normal,Open Play,,,,0.0025253128,3879731
93952,"[108.7, 49.2]",,Raúl Albiol i Tortajada,Right Center Back,,Left Foot,,"[110.1, 47.9]",True,,,Blocked,Volley,Open Play,,,,0.0018052222,3879731
93953,"[88.5, 34.4]",,Faouzi Ghoulam,Left Back,,Left Foot,,"[117.1, 40.0, 1.2]",True,,,Saved,Half Volley,Open Play,,,,0.0016745738,3879731
93954,"[104.4, 27.6]",,Lorenzo Insigne,Left Wing,,Left Foot,,"[120.0, 35.4, 2.0]",True,,,Off T,Normal,Open Play,True,,,0.0022010566,3879731
93956,"[108.0, 40.1]",,Gonzalo Gerardo Higuaín,Center Forward,,Right Foot,,"[120.0, 37.3, 0.8]",,,,Goal,Normal,Penalty,,,,0.99311936,3879731
93957,"[100.6, 22.7]",,Lorenzo Insigne,Right Wing,,Right Foot,,"[120.0, 44.1, 4.7]",,,,Off T,Normal,Open Play,True,,,0.0013969596,3879731
93958,"[102.3, 38.0]",,Gonzalo Gerardo Higuaín,Center Forward,,Right Foot,,"[113.0, 39.2, 1.4]",True,,,Saved,Lob,Open Play,True,,,0.0015418497,3879731
93959,"[101.8, 24.8]",,Lorenzo Insigne,Right Wing,,Right Foot,,"[118.3, 36.6, 0.2]",,,,Saved,Normal,Open Play,True,,,0.0009357874,3879731
93961,"[111.9, 27.7]",,Dries Mertens,Left Wing,,Right Foot,,"[120.0, 47.2, 4.2]",,,,Off T,Normal,Open Play,True,,,0.006687084,3879731
